deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
REDLAT_AF022_CraftDe.wav,1.4379066,1.4825873,3.236247,1.8325067,2.0748074,NISQAv2
REDLAT_AF022_CraftIm.wav,1.7210215,1.6150283,3.2776506,1.9523528,2.2285056,NISQAv2
REDLAT_AF022_Fugu.wav,1.0472059,1.5832603,3.0252676,1.5089357,1.7247102,NISQAv2
REDLAT_AF022_Phonological.wav,1.1994132,1.4667487,2.5304575,1.6475397,1.7648964,NISQAv2
REDLAT_AF022_Phonological2.wav,1.1751431,1.4943869,3.569383,2.279987,1.9586068,NISQAv2
REDLAT_AF022_Semantic.wav,1.4917297,1.4978104,3.4808166,2.2238967,2.1744857,NISQAv2
REDLAT_AF022_Semantic2.wav,0.8636483,1.3373506,2.541524,1.5439472,1.6044254,NISQAv2
REDLAT_AF023_CraftDe.wav,1.254949,1.4564445,2.6604347,1.8601997,1.958303,NISQAv2
REDLAT_AF023_CraftIm.wav,0.87824786,1.4394807,2.611545,1.587619,1.7150378,NISQAv2
REDLAT_AF023_Fugu.wav,1.6706378,1.9772768,3.4705276,2.001739,2.0289223,NISQAv2
REDLAT_AF023_Phonological.wav,1.2849334,1.6155219,2.6199608,1.7033118,1.6195924,NISQAv2
REDLAT_AF023_Phonological2.wav,1.2164593,1.4833997,2.7071693,1.7759229,1.8165958,NISQAv2
REDLAT_AF023_Semantic.wav,1.0565621,1.3690639,2.6108804,1.710676,1.7294886,NISQAv2
REDLAT_AF023_Semantic2.wav,1.40844,1.4644932,3.164193,2.0017354,2.2149303,NISQAv2
REDLAT_AF024_CraftDe.wav,1.7523805,1.7384793,3.4058595,2.0471182,2.4939663,NISQAv2
REDLAT_AF024_CraftIm.wav,2.0193276,1.9838281,3.5507138,2.4488058,3.0667872,NISQAv2
REDLAT_AF024_Fugu.wav,2.1803734,1.8949697,3.1678739,2.511018,3.2580128,NISQAv2
REDLAT_AF024_Phonological.wav,1.7316215,1.5736685,3.9676514,2.8902059,2.377503,NISQAv2
REDLAT_AF024_Phonological2.wav,2.089707,1.7369049,4.0002575,3.0205665,2.9805982,NISQAv2
REDLAT_AF024_Semantic.wav,1.9725811,1.635151,3.7852588,2.874683,3.2052057,NISQAv2
REDLAT_AF024_Semantic2.wav,1.3897781,1.724271,3.4383197,2.2039404,1.84073,NISQAv2
REDLAT_AF025_CraftDe.wav,1.7246938,1.7098502,3.579125,2.1317954,2.3301647,NISQAv2
REDLAT_AF025_CraftIm.wav,1.8671585,1.6785332,3.3345714,2.1592138,2.370265,NISQAv2
REDLAT_AF025_Fugu.wav,2.236214,1.9606538,3.5189745,2.1995587,2.6212182,NISQAv2
REDLAT_AF025_Phonological.wav,1.9339567,1.7953026,4.0946016,2.6148593,2.4783494,NISQAv2
REDLAT_AF025_Phonological2.wav,1.9607248,1.7049382,3.8757837,2.3602617,2.521872,NISQAv2
REDLAT_AF025_Semantic.wav,1.7150793,1.6620309,3.9552763,2.3893995,2.4491255,NISQAv2
REDLAT_AF025_Semantic2.wav,1.383465,1.3803158,3.3927398,2.0112894,2.1366189,NISQAv2
REDLAT_AF026_CraftDe.wav,1.5887309,1.5346305,2.6182775,1.8253484,2.327544,NISQAv2
REDLAT_AF026_CraftIm.wav,1.9108065,1.7254668,2.8378706,2.2541926,2.6378562,NISQAv2
REDLAT_AF026_Fugu.wav,1.3092988,1.6436481,3.038303,1.7448561,2.010402,NISQAv2
REDLAT_AF026_Phonological.wav,1.5291291,1.7602439,3.1136904,1.9602625,2.0292468,NISQAv2
REDLAT_AF026_Phonological2.wav,1.3331103,1.5431826,2.895685,1.7177688,1.7301834,NISQAv2
REDLAT_AF026_Semantic.wav,1.2404207,1.4984884,2.7020845,1.8060579,1.8835183,NISQAv2
REDLAT_AF026_Semantic2.wav,1.2390394,1.4936486,2.9190574,1.7275584,1.9161543,NISQAv2
REDLAT_AF027_CraftDe.wav,1.3569353,1.396018,2.7256,1.9180754,2.101162,NISQAv2
REDLAT_AF027_CraftIm.wav,2.072409,1.6113837,3.1037238,2.3846612,2.7974637,NISQAv2
REDLAT_AF027_Fugu.wav,1.3192885,1.4608307,2.9368682,1.8683149,2.1648836,NISQAv2
REDLAT_AF027_Phonological.wav,1.8274604,1.4677675,3.2034018,2.6903515,2.7596753,NISQAv2
REDLAT_AF027_Phonological2.wav,1.941373,1.6116563,3.7501116,3.2696033,3.2298765,NISQAv2
REDLAT_AF027_Semantic.wav,1.7317063,1.6934236,3.0972393,2.3558347,2.5517673,NISQAv2
REDLAT_AF027_Semantic2.wav,1.7646738,1.6684389,3.3133874,2.482927,2.7421803,NISQAv2
REDLAT_AF028_CraftIm.wav,1.3952327,1.4724033,2.1329477,1.712801,2.1689034,NISQAv2
REDLAT_AF028_Fugu.wav,1.2738614,1.4517452,3.5813563,2.306319,2.210652,NISQAv2
REDLAT_AF028_Phonological.wav,1.3952101,1.4776419,2.5720813,1.6240222,1.7674997,NISQAv2
REDLAT_AF028_Phonological2.wav,1.4021293,1.5911455,2.9985712,1.6614718,1.8861332,NISQAv2
REDLAT_AF028_Semantic.wav,1.5553744,1.810879,3.2986474,2.1792297,1.7887353,NISQAv2
REDLAT_AF028_Semantic2.wav,1.3002862,1.6870714,3.9606116,2.5668967,2.207102,NISQAv2
REDLAT_AF029_CraftDe.wav,1.6359175,1.6889468,2.9856365,1.7496597,2.308578,NISQAv2
REDLAT_AF029_CraftIm.wav,2.4212532,2.0191977,3.4260235,2.8339415,3.1084132,NISQAv2
REDLAT_AF029_Fugu.wav,2.7298589,1.8187939,3.4874775,3.0563865,3.35769,NISQAv2
REDLAT_AF029_Phonological.wav,2.1273615,1.7692026,2.406287,2.2732077,3.0411203,NISQAv2
REDLAT_AF029_Phonological2.wav,2.0284894,1.7053978,2.550907,2.2036216,2.8913863,NISQAv2
REDLAT_AF029_Semantic.wav,1.6466078,1.6819463,3.2632036,2.2486594,2.4238846,NISQAv2
REDLAT_AF029_Semantic2.wav,1.859092,1.7119184,3.3053606,2.489414,2.2357838,NISQAv2
REDLAT_AF030_CraftDe.wav,0.97596073,1.401588,2.8105462,1.5732611,1.9348768,NISQAv2
REDLAT_AF030_CraftIm.wav,1.4824545,1.62515,3.1025596,1.6771214,2.1518328,NISQAv2
REDLAT_AF030_Fugu.wav,1.5836209,1.7348158,3.549894,1.9554995,2.3384311,NISQAv2
REDLAT_AF030_Phonological.wav,1.2185386,1.679807,3.1117837,1.4782971,1.499986,NISQAv2
REDLAT_AF030_Phonological2.wav,1.0859933,1.5151808,2.495153,1.4189872,1.644345,NISQAv2
REDLAT_AF030_Semantic.wav,1.2140867,1.6510489,3.1996365,1.4913535,1.6636579,NISQAv2
REDLAT_AF030_Semantic2.wav,1.2883228,1.6296704,3.5914423,1.6903137,1.9568567,NISQAv2
REDLAT_AF031_CraftDe.wav,1.4678658,1.3900335,2.5406249,1.9352698,2.3129137,NISQAv2
REDLAT_AF031_CraftIm.wav,1.6616913,1.6965399,2.6090412,2.0626178,2.3853767,NISQAv2
REDLAT_AF031_Fugu.wav,1.4787915,1.5615165,2.8816307,2.1163988,2.2587144,NISQAv2
