deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
LIM0004_0059_P__20250121__Re-narración_de_video__zH0m.wav,1.6702608,3.1177773,2.1188884,2.249469,2.713246,NISQAv2
LIM0003_0101_A__20250306__Rutina__TtU1.wav,1.4606583,3.3091795,2.0348873,2.195275,2.4629796,NISQAv2
LIM0007_0031_A__20241115__Rutina__VyUc.wav,1.5796012,3.2835095,1.7691109,2.1243036,2.9781816,NISQAv2
LIM0008_0100_P__20250326__Recuerdo_agradable__mlLm.wav,1.5694389,3.2925375,2.2490897,1.8861412,2.9099298,NISQAv2
LIM0006_0026A__20241031__Re-narración_de_video__eb5Y.wav,1.8347634,3.1944258,2.3119035,2.2296975,2.8086221,NISQAv2
LIM0006_0115_P__20250405__Recuerdo_agradable__itSf.wav,2.3709285,3.291058,3.9552114,2.870917,2.1352596,NISQAv2
TUM0007_0133A__20250219__Rutina__CZ2u.wav,1.8250053,3.466356,2.4299424,2.1231596,2.6776001,NISQAv2
LIM0007_0135_P__20250528__Recuerdo_agradable__64Gb.wav,1.6260961,3.2337365,2.1948826,2.2731738,1.7102492,NISQAv2
TUM0010_0100A__20241026__Re-narración_de_video__fC37.wav,1.860566,3.4972837,2.2340276,2.5529134,3.4200332,NISQAv2
LIM0007_0124_A__20250521__Rutina__bYme.wav,1.449144,3.0302868,2.2925136,2.2278807,2.0838304,NISQAv2
LIM0007_0118_A__20250512__Re-narración_de_video__u6DV.wav,2.3037648,3.851952,2.355669,2.864514,3.1506882,NISQAv2
LIM0002_0192_A__20250602__Rutina__PmMO.wav,2.0304391,3.5578196,2.0834458,2.4178407,2.9395602,NISQAv2
LIM0002_0057_A__20250116__Rutina__3qKG.wav,1.490708,2.886527,2.0111527,1.9488336,2.9049375,NISQAv2
LIM0002_0093_P__20250313__Recuerdo_agradable__iS7l.wav,1.6056917,3.624848,3.9393864,2.5456254,1.5786083,NISQAv2
LIM0007_0135_A__20250528__Recuerdo_agradable__UKLW.wav,1.707237,3.449474,2.2257564,2.4414709,3.1763659,NISQAv2
LIM0006_0079_P__20250226__Lámina_1__u5EK.wav,1.2758677,3.340317,1.6673136,1.9761575,2.97041,NISQAv2
LIM0002_0091_A__20250307__Rutina__nndE.wav,2.4549606,3.2962434,2.9433062,2.6528213,3.54664,NISQAv2
LIM0006_0111_A__20250320__Rutina__9vln.wav,2.6887827,3.8358908,3.0037503,2.9848568,2.9203904,NISQAv2
TUM0003_0049A__20241031__Rutina__YDvz.wav,1.5448782,3.1077592,2.0564477,1.9989003,2.895272,NISQAv2
IQT0003_0184_A__20250314__Recuerdo_agradable__voJR.wav,2.9478056,3.7285385,4.1150126,3.0430896,2.3917809,NISQAv2
LIM0003_0105_A__20250310__Lámina_1__H16R.wav,2.2046702,3.150808,2.51778,2.1397722,3.1142466,NISQAv2
LIM0003_0171_A__20250605__Recuerdo_agradable__i9bg.wav,1.5604593,3.039926,1.9910469,2.0932467,2.795815,NISQAv2
IQT0012_0102_A__20250517__Recuerdo_agradable__boNz.wav,1.5426751,3.625653,2.071167,1.979803,2.4472504,NISQAv2
LIM0002_0064_A__20250126__Re-narración_de_video__9MGP.wav,1.6899506,3.6072905,1.8973184,2.1439507,2.8458793,NISQAv2
LIM0007_0049_A__20250116__Rutina__KuGi.wav,2.1564689,3.8498225,3.4762619,2.5452092,2.0303926,NISQAv2
LIM0008_0137_A__20250513__Recuerdo_agradable__pL0z.wav,1.6296514,3.7523758,2.1622374,2.2757394,2.4781077,NISQAv2
Tum0004_0318__20250605__Rutina__0tSw.wav,1.9300299,2.7987633,2.624207,2.5396326,2.8922386,NISQAv2
TUM0004_0175__A__20250116__Lámina_1__lD52.wav,1.6263922,3.2999647,2.0662422,2.316899,3.2255752,NISQAv2
LIM0004_0063_A__20250129__Rutina__wwKp.wav,1.720949,3.2208774,2.200543,2.525026,3.1232271,NISQAv2
TUM0009_0303_A__20250602__Re-narración_de_video__bJU9.wav,2.2180731,3.603986,2.0065773,2.5248349,3.414348,NISQAv2
PRUEBA__Audifono_4__20250522__Recuerdo_agradable__DwDm.wav,1.329828,3.1512764,2.045703,2.097726,2.8770368,NISQAv2
TUM0004_0126_A__20241111__Recuerdo_agradable__U5Kk.wav,0.9602138,2.7334368,1.8393838,1.7797521,2.4270046,NISQAv2
LIM0004_0014_P__20241011__Recuerdo_agradable__o8gZ.wav,1.2981894,3.141352,1.8943303,2.1564946,2.710879,NISQAv2
LIM0004_0103_A__20250317__Lámina_1__1DoJ.wav,2.2156534,3.5808704,2.174339,2.4584777,3.4496982,NISQAv2
LIM0007_0129_A__20250602__Lámina_1__n6kE.wav,1.8243567,3.411955,2.0600617,2.3096716,3.403009,NISQAv2
LIM0004_0007_A__20241017__Recuerdo_agradable__fB2S.wav,1.1163825,2.7399302,1.8445609,1.967953,1.7659883,NISQAv2
LIM0004_0054_P__20250114__Rutina__msYT.wav,1.7637795,3.4360313,2.0792305,2.3791554,2.9669185,NISQAv2
TUM0003_0065_A__20241206__Rutina__LnRd.wav,1.8709123,3.5955043,2.1477737,2.4065564,2.6697714,NISQAv2
LIM0007_0113_A__20250514__Recuerdo_agradable__wlAv.wav,1.7677735,3.5085847,2.1692607,2.2336814,3.0303714,NISQAv2
IQT0012_0073_A__20250402__Recuerdo_agradable__ReIk.wav,1.7874652,3.4209392,2.0581203,2.1558778,3.1327407,NISQAv2
LIM0007_0001_A__20241009__Recuerdo_agradable__OvXQ.wav,2.1941996,3.223407,4.0825443,2.1361625,2.5301788,NISQAv2
TUM0007_0187_A__20250416__Rutina__pZSR.wav,2.707929,3.9524376,2.5250132,2.7408235,3.0979676,NISQAv2
TUM0003_0286_A__20250611__Recuerdo_agradable__UDjz.wav,1.4583092,3.3826034,1.9697309,1.9742044,2.5714073,NISQAv2
TUM0008_0090__20241213__Rutina__WklP.wav,2.331412,3.7860847,2.9106517,2.406544,3.0860407,NISQAv2
IQT0007_0212_P__20250409__Re-narración_de_video__igur.wav,1.75643,2.261452,3.8798332,2.6483662,2.012709,NISQAv2
IQT0011_0150_A__20250408__Re-narración_de_video__Z21M.wav,1.6156842,3.215031,1.96014,2.3264098,3.0895424,NISQAv2
LIM0007_0092_A__20250410__Rutina__lxIp.wav,1.4138701,3.26457,2.137017,2.0824828,2.2487216,NISQAv2
TUM0009_0283_A__20250527__Lámina_1__OQYX.wav,2.1936882,3.7890484,2.5471153,2.4702218,2.9433997,NISQAv2
HUA0004_0068A__20250129__Recuerdo_agradable__MGE2.wav,1.4917234,3.2460837,2.0213706,2.321807,2.7316873,NISQAv2
LIM0003_0154_P__20250509__Rutina__cnj2.wav,2.0474813,3.3273792,2.2675586,2.4580843,3.2537405,NISQAv2
PRUEBATum01_0001_P__20250227__Rutina__PhkZ.wav,1.2140404,3.516668,2.1409016,1.8585443,2.5383465,NISQAv2
TUM0004_0082_A__20241022__Recuerdo_agradable__aBk4.wav,1.8725995,3.1307368,2.5608246,2.3913043,3.640556,NISQAv2
TUM0004_0109A__20250125__Rutina__BJLp.wav,2.4789865,3.5479107,3.2908893,2.671201,2.5920117,NISQAv2
LIM0007_0031_A__20241115__Recuerdo_agradable__JAiB.wav,1.881232,3.1743116,2.209603,2.2973268,3.12436,NISQAv2
LIM0002_0002_P__20241026__Rutina__wJh3.wav,2.0596912,3.6632073,2.1520884,2.5350926,3.3163753,NISQAv2
TUM0009_0169_A__20250305__Recuerdo_agradable__pVRC.wav,1.658556,3.3980231,2.0731125,2.0921452,2.7142932,NISQAv2
LIM0004_0103_P__20250317__Rutina__rnyO.wav,1.884071,3.2141576,2.1869366,2.1066535,3.1064508,NISQAv2
IQT0012_0065_A__20250326__Recuerdo_agradable__7OGD.wav,1.9316715,3.777083,3.3302763,2.041277,3.7464101,NISQAv2
LIM0008_0088_A__20250312__Recuerdo_agradable__HdV1.wav,1.5548517,3.2608426,1.8215678,1.9918667,2.9463365,NISQAv2
TUM0002_0236_P__20250503__Recuerdo_agradable__dKqg.wav,1.1555339,3.0805385,2.1733615,2.2792795,2.6216085,NISQAv2
LIM0007_0077_P__20250313__Recuerdo_agradable__vFoF.wav,1.4361254,3.569085,1.8165689,2.1757088,3.2089217,NISQAv2
LIM0004_0013_P__20241110__Recuerdo_agradable__a5rL.wav,1.4203576,2.7478967,1.9341121,1.9501686,2.6224163,NISQAv2
LIM0002_0098_A__20250318__Re-narración_de_video__zA6z.wav,1.6797905,2.6489146,3.9201813,2.8983161,1.6000639,NISQAv2
LIM0007_0049_A__20250116__Lámina_1__JMg0.wav,2.3457763,3.3462079,3.950906,2.9495528,2.1064084,NISQAv2
LIM0007_0005_P__20241016__Recuerdo_agradable__PPvu.wav,2.6238306,3.714526,2.5528128,2.7679422,2.706435,NISQAv2
LIM0005_0035__20241111__Re-narración_de_video__Twxn.wav,2.59605,3.6929376,2.952171,2.9561536,3.5820577,NISQAv2
TUM0007_0209_A__20250523__Rutina__rmWs.wav,1.9092706,3.132002,2.359374,2.3207018,2.5740135,NISQAv2
LIM0010_0010_A__20250117__Recuerdo_agradable__LT9T.wav,1.552411,3.0997918,3.910475,2.5208392,1.5572181,NISQAv2
